,agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
23997,23997,1096,2354,7,3,MANDATORY,462135
15694,15694,808,2354,8,3,MANDATORY,5105125
12571,12571,118,1542,7,4,MANDATORY,2012879
8223,8223,1643,2398,8,1,MANDATORY,4838344
15805,15805,1206,84,8,0,MANDATORY,1644751
7152,7152,1056,84,7,5,MANDATORY,3176121
23734,23734,2438,789,7,1,MANDATORY,825019
26003,26003,2355,2408,7,4,MANDATORY,1178607
17578,17578,2132,2354,7,3,MANDATORY,5485834
1328,1328,2424,957,8,2,MANDATORY,2758988
22449,22449,1922,2354,8,3,MANDATORY,366006
14000,14000,910,84,8,3,MANDATORY,7005922
24306,24306,381,2354,7,3,MANDATORY,5933840
6953,6953,2,99,7,4,MANDATORY,1177528
10060,10060,1345,1542,8,4,MANDATORY,5261530
6978,6978,2464,84,7,4,MANDATORY,3704098
12966,12966,990,84,7,2,MANDATORY,669396
12993,12993,22,903,8,3,MANDATORY,2988903
1452,1452,2713,309,8,3,MANDATORY,3548747
15007,15007,1659,84,7,0,MANDATORY,3900209
24116,24116,1269,2354,7,3,MANDATORY,2338926
16867,16867,2187,610,7,2,MANDATORY,290139
26207,26207,2355,183,8,0,MANDATORY,222984
18341,18341,2657,2354,8,3,MANDATORY,7006270
28054,28054,2355,1328,8,2,MANDATORY,3989667
12030,12030,1376,1055,7,5,MANDATORY,2012938
16035,16035,1440,2354,7,3,MANDATORY,7006054
20720,20720,1167,270,7,4,MANDATORY,1048668
8437,8437,2069,2431,7,5,MANDATORY,1646794
11087,11087,2424,1719,8,4,MANDATORY,4189562
7470,7470,1935,84,8,1,MANDATORY,1559296
7115,7115,1804,84,7,0,MANDATORY,7004552
13421,13421,101,84,7,1,MANDATORY,5219512
597,597,2424,2666,7,4,MANDATORY,3497728
24584,24584,2123,2354,8,1,MANDATORY,825324
19912,19912,832,2354,7,3,MANDATORY,3563777
9250,9250,442,2059,7,2,MANDATORY,2012636
26972,26972,2355,132,7,1,MANDATORY,1774446
25251,25251,2472,2354,7,4,MANDATORY,461952
7114,7114,1665,989,8,1,MANDATORY,7004550
24920,24920,1370,1982,8,2,MANDATORY,2990045
12300,12300,115,1542,7,1,MANDATORY,5485426
18079,18079,2582,2354,7,5,MANDATORY,2050048
24328,24328,1585,2354,8,2,MANDATORY,824020
22072,22072,1037,2521,8,4,MANDATORY,2776427
25403,25403,686,2354,8,0,MANDATORY,2339258
28629,28629,2355,1268,7,3,MANDATORY,6753368
9122,9122,999,2059,8,5,MANDATORY,4614370
23033,23033,210,2354,7,0,MANDATORY,4615827
25023,25023,724,2354,7,2,MANDATORY,5933850
5872,5872,2355,104,8,4,MANDATORY,7176126
4177,4177,2173,2567,7,3,MANDATORY,4836390
16428,16428,1401,2354,7,0,MANDATORY,3394160
16455,16455,1045,2354,7,3,MANDATORY,3563575
12412,12412,2567,1542,7,3,MANDATORY,1420892
4215,4215,2173,2080,7,5,MANDATORY,944018
12695,12695,113,1542,7,2,MANDATORY,7636106
7292,7292,1808,84,8,4,MANDATORY,3054653
16517,16517,1042,2354,7,5,MANDATORY,442748
22136,22136,1038,2273,8,5,MANDATORY,569334
10781,10781,543,1542,7,2,MANDATORY,6245880
10045,10045,2413,1542,8,1,MANDATORY,1927672
1428,1428,2424,2606,8,2,MANDATORY,3695618
4916,4916,2173,2567,7,5,MANDATORY,1110661
13057,13057,124,114,7,5,MANDATORY,3900111
1543,1543,2424,2023,8,2,MANDATORY,2003361
27166,27166,2355,986,8,3,MANDATORY,3055078
23789,23789,1554,2354,7,0,MANDATORY,3900435
4633,4633,2355,922,7,2,MANDATORY,3560523
11362,11362,826,2431,8,2,MANDATORY,3563117
17967,17967,1454,2354,7,2,MANDATORY,587872
24558,24558,1358,2354,8,3,MANDATORY,4839420
21340,21340,1153,2354,8,3,MANDATORY,2013709
1283,1283,2424,650,7,5,MANDATORY,5856887
25989,25989,2355,1055,8,3,MANDATORY,1229221
23280,23280,2473,2354,8,2,MANDATORY,2989776
508,508,2355,1475,8,1,MANDATORY,3784837
10322,10322,1399,84,8,0,MANDATORY,5484531
552,552,2355,1172,8,1,MANDATORY,2468123
16983,16983,2500,2354,8,0,MANDATORY,7006183
6607,6607,1884,2208,8,3,MANDATORY,2012407
19966,19966,709,2354,7,2,MANDATORY,2937361
1554,1554,2691,2354,8,1,MANDATORY,5770275
10840,10840,437,1542,8,2,MANDATORY,5484541
11397,11397,2424,1729,8,5,MANDATORY,2775633
28077,28077,2355,1307,8,0,MANDATORY,4169618
21966,21966,1699,2354,7,0,MANDATORY,1928231
21389,21389,1895,2354,8,2,MANDATORY,4763121
4155,4155,2173,1376,8,1,MANDATORY,1840374
13441,13441,278,84,7,2,MANDATORY,3704770
26532,26532,2355,414,8,2,MANDATORY,1049488
19921,19921,2092,2354,7,1,MANDATORY,461358
851,851,2424,128,7,0,MANDATORY,6378868
12809,12809,2686,1672,8,1,MANDATORY,7681120
21812,21812,1702,2354,8,0,MANDATORY,311622
6044,6044,1700,1600,7,5,MANDATORY,4938440
13017,13017,131,84,7,3,MANDATORY,1177701
24824,24824,2482,2354,8,4,MANDATORY,825745
8483,8483,2106,2059,8,2,MANDATORY,158399
21542,21542,2082,2354,7,3,MANDATORY,2074059
16065,16065,885,1978,8,5,MANDATORY,5219613
8789,8789,799,1242,7,2,MANDATORY,1273171
19806,19806,871,2354,7,4,MANDATORY,2013585
21800,21800,1663,162,7,2,MANDATORY,7324022
2602,2602,1884,2095,8,1,MANDATORY,1039132
21465,21465,492,2354,8,5,MANDATORY,1048525
8014,8014,1594,1803,8,2,MANDATORY,7004864
17816,17816,1571,2354,7,5,MANDATORY,5959489
19930,19930,319,2354,7,5,MANDATORY,1883012
21101,21101,1793,2354,7,1,MANDATORY,5866647
109,109,2355,2549,7,1,MANDATORY,1216631
26155,26155,2355,2668,7,5,MANDATORY,2937480
26708,26708,2355,378,7,1,MANDATORY,5170433
26676,26676,2355,686,8,0,MANDATORY,945956
13976,13976,150,84,8,5,MANDATORY,5773948
7423,7423,273,101,8,2,MANDATORY,5205234
24634,24634,2232,2354,8,1,MANDATORY,4066841
13094,13094,123,84,7,1,MANDATORY,158760
12205,12205,2607,1542,8,5,MANDATORY,4971026
27947,27947,465,2354,8,4,MANDATORY,312983
13370,13370,101,84,7,1,MANDATORY,7578600
