GP_file,Longitude,Latitude
1261.csv,-93.72, 30.02
1262.csv,-93.73, 30.02
1263.csv,-93.74, 30.02
1264.csv,-93.75, 30.02
1265.csv,-93.76, 30.02
1266.csv,-93.77, 30.02
1267.csv,-93.78, 30.02
1268.csv,-93.79, 30.02
1269.csv,-93.80, 30.02
1270.csv,-92.84, 30.03
1271.csv,-92.85, 30.03
1272.csv,-92.86, 30.03
1273.csv,-92.87, 30.03
1274.csv,-92.88, 30.03
1275.csv,-92.89, 30.03
1276.csv,-92.90, 30.03
1277.csv,-93.18, 30.03
1278.csv,-93.19, 30.03
1279.csv,-93.20, 30.03
1280.csv,-93.21, 30.03
1281.csv,-93.22, 30.03
1282.csv,-93.23, 30.03
1283.csv,-93.24, 30.03
1284.csv,-93.25, 30.03
1285.csv,-93.26, 30.03
1286.csv,-93.27, 30.03
1287.csv,-93.34, 30.03
1288.csv,-93.35, 30.03
1289.csv,-93.36, 30.03
1290.csv,-93.37, 30.03
1291.csv,-93.38, 30.03
1292.csv,-93.39, 30.03
1293.csv,-93.40, 30.03
1294.csv,-93.41, 30.03
1295.csv,-93.42, 30.03
1296.csv,-93.43, 30.03
1297.csv,-93.44, 30.03
1298.csv,-93.69, 30.03
1299.csv,-93.70, 30.03
1300.csv,-93.71, 30.03
1301.csv,-93.72, 30.03
1302.csv,-93.73, 30.03
1303.csv,-93.74, 30.03
1304.csv,-93.75, 30.03
1305.csv,-93.76, 30.03
1306.csv,-93.77, 30.03
1307.csv,-93.78, 30.03
1308.csv,-93.79, 30.03
1309.csv,-93.80, 30.03
1310.csv,-92.84, 30.04
1311.csv,-92.85, 30.04
1312.csv,-92.86, 30.04
1313.csv,-92.87, 30.04
1314.csv,-92.88, 30.04
1315.csv,-93.18, 30.04
1316.csv,-93.19, 30.04
1317.csv,-93.20, 30.04
1318.csv,-93.21, 30.04
1319.csv,-93.22, 30.04
1320.csv,-93.23, 30.04
1321.csv,-93.24, 30.04
1322.csv,-93.25, 30.04
1323.csv,-93.26, 30.04
1324.csv,-93.27, 30.04
1325.csv,-93.28, 30.04
1326.csv,-93.34, 30.04
1327.csv,-93.35, 30.04
1328.csv,-93.36, 30.04
1329.csv,-93.37, 30.04
1330.csv,-93.38, 30.04
1331.csv,-93.39, 30.04
1332.csv,-93.40, 30.04
1333.csv,-93.41, 30.04
1334.csv,-93.42, 30.04
1335.csv,-93.43, 30.04
1336.csv,-93.44, 30.04
1337.csv,-93.70, 30.04
1338.csv,-93.71, 30.04
1339.csv,-93.72, 30.04
1340.csv,-93.73, 30.04
1341.csv,-93.74, 30.04
1342.csv,-93.75, 30.04
1343.csv,-93.76, 30.04
1344.csv,-93.77, 30.04
1345.csv,-93.78, 30.04
1346.csv,-93.79, 30.04
1347.csv,-93.80, 30.04
1348.csv,-92.84, 30.05
1349.csv,-92.85, 30.05
1350.csv,-92.86, 30.05
1351.csv,-93.18, 30.05
1352.csv,-93.19, 30.05
1353.csv,-93.20, 30.05
1354.csv,-93.21, 30.05
1355.csv,-93.22, 30.05
1356.csv,-93.23, 30.05
1357.csv,-93.24, 30.05
1358.csv,-93.25, 30.05
1359.csv,-93.26, 30.05
1360.csv,-93.27, 30.05
1361.csv,-93.28, 30.05
1362.csv,-93.34, 30.05
1363.csv,-93.35, 30.05
1364.csv,-93.36, 30.05
1365.csv,-93.37, 30.05
1366.csv,-93.38, 30.05
1367.csv,-93.39, 30.05
1368.csv,-93.40, 30.05
1369.csv,-93.41, 30.05
1370.csv,-93.42, 30.05
1371.csv,-93.43, 30.05
1372.csv,-93.71, 30.05
1373.csv,-93.72, 30.05
1374.csv,-93.73, 30.05
1375.csv,-93.74, 30.05
1376.csv,-93.75, 30.05
1377.csv,-93.76, 30.05
1378.csv,-93.77, 30.05
1379.csv,-93.78, 30.05
1380.csv,-93.79, 30.05
1381.csv,-93.80, 30.05
1382.csv,-93.18, 30.06
1383.csv,-93.19, 30.06
1384.csv,-93.20, 30.06
1385.csv,-93.21, 30.06
1386.csv,-93.22, 30.06
1387.csv,-93.23, 30.06
1388.csv,-93.24, 30.06
1389.csv,-93.25, 30.06
1390.csv,-93.26, 30.06
1391.csv,-93.27, 30.06
1392.csv,-93.28, 30.06
1393.csv,-93.29, 30.06
1394.csv,-93.34, 30.06
1395.csv,-93.35, 30.06
1396.csv,-93.36, 30.06
1397.csv,-93.37, 30.06
1398.csv,-93.38, 30.06
1399.csv,-93.39, 30.06
1400.csv,-93.40, 30.06
1401.csv,-93.41, 30.06
1402.csv,-93.42, 30.06
1403.csv,-93.43, 30.06
1404.csv,-93.72, 30.06
1405.csv,-93.73, 30.06
1406.csv,-93.74, 30.06
1407.csv,-93.75, 30.06
1408.csv,-93.76, 30.06
1409.csv,-93.77, 30.06
1410.csv,-93.78, 30.06
1411.csv,-93.79, 30.06
1412.csv,-93.80, 30.06
1413.csv,-93.19, 30.07
1414.csv,-93.20, 30.07
1415.csv,-93.21, 30.07
1416.csv,-93.22, 30.07
1417.csv,-93.23, 30.07
1418.csv,-93.24, 30.07
1419.csv,-93.25, 30.07
1420.csv,-93.26, 30.07
1421.csv,-93.27, 30.07
1422.csv,-93.28, 30.07
1423.csv,-93.29, 30.07
1424.csv,-93.30, 30.07
1425.csv,-93.34, 30.07
1426.csv,-93.35, 30.07
1427.csv,-93.36, 30.07
1428.csv,-93.37, 30.07
1429.csv,-93.38, 30.07
1430.csv,-93.39, 30.07
1431.csv,-93.40, 30.07
1432.csv,-93.41, 30.07
1433.csv,-93.42, 30.07
1434.csv,-93.43, 30.07
1435.csv,-93.73, 30.07
1436.csv,-93.74, 30.07
1437.csv,-93.75, 30.07
1438.csv,-93.76, 30.07
1439.csv,-93.77, 30.07
1440.csv,-93.78, 30.07
1441.csv,-93.79, 30.07
1442.csv,-93.80, 30.07
1443.csv,-93.19, 30.08
1444.csv,-93.20, 30.08
1445.csv,-93.21, 30.08
1446.csv,-93.22, 30.08
1447.csv,-93.23, 30.08
1448.csv,-93.24, 30.08
1449.csv,-93.25, 30.08
1450.csv,-93.26, 30.08
1451.csv,-93.27, 30.08
1452.csv,-93.28, 30.08
1453.csv,-93.29, 30.08
1454.csv,-93.30, 30.08
1455.csv,-93.31, 30.08
1456.csv,-93.32, 30.08
1457.csv,-93.34, 30.08
1458.csv,-93.35, 30.08
1459.csv,-93.36, 30.08
1460.csv,-93.37, 30.08
1461.csv,-93.38, 30.08
1462.csv,-93.39, 30.08
1463.csv,-93.40, 30.08
