BldgID,Latitude,Longitude,BuildingType,StructureType,NumberOfStories,Height,PlanArea,RoofShape,RoofQuality,RoofSystem,RoofCover,SecondaryWaterResistance,RoofDeckAttachment,RoofToWallConnection,NumberOfUnits,JoistSpacing,Garage,Shutters,WindowArea,TieDowns,MasonryReinforcing,WindDebrisClass,LandCover,OccupancyClass,Footprint,Wind_Config
79,30.1675997,-93.27501232,Wood,Single Family Housing,1,16.06,344.8,Hip,,Truss,,1,8d,Strap,,,Standard,0.0,,,,,Light Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.275085, 30.167694], [-93.275089, 30.167526], [-93.274912, 30.167523], [-93.27491, 30.167599], [-93.274972, 30.1676], [-93.27497, 30.167692], [-93.275085, 30.167694]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.1.8d.strap.std.0.15
80,30.1764115,-93.265636,Wood,Single Family Housing,1,15.0,334.1,Gable,,Truss,,0,8d,Strap,,,Standard,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.265573, 30.176504], [-93.265699, 30.176504], [-93.265699, 30.176319], [-93.265573, 30.176319], [-93.265573, 30.176504]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.gab.0.8d.strap.std.0.35
81,30.18173267,-93.26855515,Wood,Single Family Housing,1,18.13,477.9,Hip,,Truss,,0,8d,Toe-nail,,,Weak,0.0,,,,,Light Trees,RES1,"{""geometry"": {""coordinates"": [[[-93.268441, 30.181786], [-93.268572, 30.181786], [-93.268572, 30.181849], [-93.26865, 30.181849], [-93.26865, 30.18165], [-93.268441, 30.18165], [-93.268441, 30.181786]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.tnail.wkd.0.70
82,30.18195268,-93.26299823,Wood,Single Family Housing,2,36.01,372.7,Hip,,Truss,,0,8d,Strap,,,No,0.0,,,,,Light Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.262905, 30.181886], [-93.262905, 30.182041], [-93.262969, 30.182041], [-93.262969, 30.182006], [-93.263103, 30.182006], [-93.263103, 30.181886], [-93.262905, 30.181886]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.2.hip.0.8d.strap.no.0.15
83,30.1746023,-93.25281619,Wood,Single Family Housing,1,17.39,404.8,Hip,,Truss,,1,8d,Strap,,,No,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.252707, 30.174673], [-93.252911, 30.174673], [-93.252911, 30.174508], [-93.252836, 30.174508], [-93.252836, 30.17455], [-93.252707, 30.17455], [-93.252707, 30.174673]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.1.8d.strap.no.0.35
84,30.1772395,-93.2627065,Wood,Single Family Housing,1,16.11,168.8,Hip,,Truss,,0,8d,Strap,,,Standard,0.0,,,,,Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.262744, 30.177161], [-93.262669, 30.177161], [-93.262669, 30.177318], [-93.262744, 30.177318], [-93.262744, 30.177161]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.1.hip.0.8d.strap.std.0.35
85,30.17795089,-93.26120502,Wood,Single Family Housing,2,25.9,615.5,Hip,,Truss,,0,8d,Strap,,,No,1.0,,,,,Light Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.261184, 30.177829], [-93.261084, 30.17783], [-93.261085, 30.177912], [-93.261133, 30.177911], [-93.261134, 30.177962], [-93.261099, 30.177962], [-93.261101, 30.178053], [-93.261323, 30.17805], [-93.26132, 30.177871], [-93.261185, 30.177873], [-93.261184, 30.177829]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.2.hip.0.8d.strap.no.1.15
86,30.1793027,-93.25975748,Wood,Single Family Housing,2,26.94,513.6,Hip,,Truss,,0,8d,Strap,,,No,0.0,,,,,Light Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.259852, 30.179203], [-93.259681, 30.179203], [-93.259681, 30.179298], [-93.259648, 30.179298], [-93.259648, 30.179394], [-93.259852, 30.179394], [-93.259852, 30.179203]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.2.hip.0.8d.strap.no.0.15
87,30.17978654,-93.26126886,Wood,Single Family Housing,3,40.66,432.0,Gable,,Truss,,0,8d,Strap,,,No,1.0,,,,,Light Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.261198, 30.179898], [-93.261315, 30.179897], [-93.261314, 30.179842], [-93.261349, 30.179841], [-93.261347, 30.179685], [-93.261196, 30.179686], [-93.261198, 30.179898]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.2.gab.0.8d.strap.no.1.15
88,30.1818468,-93.26192033,Wood,Single Family Housing,2,33.33,512.5,Hip,,Truss,,1,8d,Strap,,,No,0.0,,,,,Light Suburban,RES1,"{""geometry"": {""coordinates"": [[[-93.262, 30.181822], [-93.262029, 30.181822], [-93.262032, 30.181736], [-93.261879, 30.181733], [-93.261875, 30.181859], [-93.261784, 30.181857], [-93.261782, 30.181939], [-93.261996, 30.181944], [-93.262, 30.181822]]], ""type"": ""Polygon""}, ""properties"": {}, ""type"": ""Feature""}",W.SF.2.hip.1.8d.strap.no.0.15
