id,Latitude,Longitude,BuildingType,StructureType,NumberOfStories,Height,PlanArea,RoofShape,RoofQuality,RoofSystem,RoofCover,SecondaryWaterResistance,RoofDeckAttachment,RoofToWallConnection,NumberOfUnits,JoistSpacing,Garage,Shutters,WindowArea,TieDowns,MasonryReinforcing,WindDebrisClass,LandCover,OccupancyClass,DesignLevel,FoundationType,NoUnits,FloodZone,FirstFloorHt1,SplitLevel,City,YearBuiltNJDEP,YearBuiltMODIV,Footprint
23,39.42503821,-74.50407406,Wood,Single Family Housing,2,38.26621945,2248.733882,Hip,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3505,1,X,0.7,FALSE,Absecon,1900,1900,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.504193,39.424993],[-74.504109,39.424946],[-74.503994,39.425070],[-74.504093,39.425125],[-74.504155,39.425059],[-74.504140,39.425050],[-74.504193,39.424993]]]},""properties"":{}}"
24,39.42495527,-74.50424183,Wood,Single Family Housing,2,36.24764684,629.926956,Gable,,Truss,,0,8d,Toe-nail,,,No,1,,,,,Suburban,RES1,NE,3505,1,X,-2.55,FALSE,Absecon,1900,1900,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.504285,39.424925],[-74.504218,39.424905],[-74.504179,39.424982],[-74.504247,39.425002],[-74.504285,39.424925]]]},""properties"":{}}"
25,39.41498667,-74.50528264,Wood,Single Family Housing,2,31.31707114,1484.249783,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Open,RES1,NE,3505,1,AE,-2.75,FALSE,Absecon,1925,1925,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.505233,39.415031],[-74.505320,39.415053],[-74.505360,39.414957],[-74.505273,39.414935],[-74.505233,39.415031]]]},""properties"":{}}"
26,39.41694243,-74.5045808,Wood,Single Family Housing,1,20.13700787,2221.575051,Hip,,Truss,,0,8d,Toe-nail,,,No,1,,,,,Suburban,RES1,NE,3505,1,X,2.32,FALSE,Absecon,1964,1964,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.504578,39.416996],[-74.504603,39.416967],[-74.504694,39.417014],[-74.504735,39.416967],[-74.504505,39.416848],[-74.504440,39.416924],[-74.504578,39.416996]]]},""properties"":{}}"
27,39.41885016,-74.5079171,Wood,Single Family Housing,1,30.72558195,1645.389467,Gable,,Truss,,0,8d,Toe-nail,,,Weak,0,,,,,Suburban,RES1,NE,3505,1,X,6.83,FALSE,Absecon,1972,1972,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.508012,39.418909],[-74.508017,39.418832],[-74.507867,39.418826],[-74.507862,39.418903],[-74.508012,39.418909]]]},""properties"":{}}"
28,39.4189032,-74.50815567,Wood,Single Family Housing,1,20.99607079,2249.094087,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3505,1,X,2.69,FALSE,Absecon,1972,1972,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.508100,39.418805],[-74.508059,39.418964],[-74.508237,39.418991],[-74.508257,39.418916],[-74.508173,39.418903],[-74.508195,39.418820],[-74.508100,39.418805]]]},""properties"":{}}"
29,39.4186983,-74.50651946,Wood,Single Family Housing,1,22.63650367,1593.999056,Gable,,Truss,,0,8d,Toe-nail,,,Weak,0,,,,,Open,RES1,NE,3505,1,AE,5.24,FALSE,Absecon,1972,1972,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.506502,39.418670],[-74.506495,39.418771],[-74.506593,39.418775],[-74.506601,39.418659],[-74.506639,39.418661],[-74.506640,39.418638],[-74.506461,39.418630],[-74.506458,39.418669],[-74.506502,39.418670]]]},""properties"":{}}"
30,39.43030157,-74.49026178,Wood,Single Family Housing,2,39.20011476,1183.438885,Gable,,Truss,,1,8d,Toe-nail,,,Weak,0,,,,,Suburban,RES1,NE,3507,1,X,0.5,FALSE,Absecon,1992,1992,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.490362,39.430341],[-74.490295,39.430229],[-74.490194,39.430266],[-74.490261,39.430377],[-74.490362,39.430341]]]},""properties"":{}}"
31,39.43013902,-74.48992581,Wood,Single Family Housing,2,41.93784148,596.2476655,Gable,,Truss,,1,8d,Strap,,,No,0,,,,,Open,RES1,NE,3507,1,AE,0.29,FALSE,Absecon,1997,1997,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.489877,39.430136],[-74.489910,39.430192],[-74.489998,39.430161],[-74.489965,39.430105],[-74.489877,39.430136]]]},""properties"":{}}"
32,39.42991694,-74.4899414,Wood,Single Family Housing,2,32.77262268,2222.139413,Hip,,Truss,,1,8d,Strap,,,Standard,0,,,,,Open,RES1,NE,3507,1,AE,0.23,FALSE,Absecon,1997,1997,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.489915,39.429847],[-74.489859,39.429939],[-74.490024,39.429999],[-74.490080,39.429907],[-74.489915,39.429847]]]},""properties"":{}}"
33,39.42822603,-74.48897197,Wood,Single Family Housing,2,34.46007418,2592.295928,Gable,,Truss,,1,8d,Toe-nail,,,Weak,0,,,,,Open,RES1,NE,3507,1,AE,0.99,FALSE,Absecon,1985,1985,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.489056,39.428174],[-74.488888,39.428172],[-74.488886,39.428245],[-74.488859,39.428244],[-74.488857,39.428289],[-74.489080,39.428293],[-74.489082,39.428229],[-74.489055,39.428229],[-74.489056,39.428174]]]},""properties"":{}}"
34,39.43065336,-74.49655491,Wood,Single Family Housing,1,24.99872339,1251.427714,Gable,,Truss,,0,8d,Toe-nail,,,No,0,,,,,Suburban,RES1,NE,3505,1,X,6.4,FALSE,Absecon,1957,1957,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.496620,39.430607],[-74.496503,39.430605],[-74.496500,39.430694],[-74.496617,39.430696],[-74.496620,39.430607]]]},""properties"":{}}"
35,39.4280016,-74.48901473,Wood,Single Family Housing,2,46.06496091,1826.351579,Gable,,Truss,,1,8d,Toe-nail,,,No,0,,,,,Open,RES1,NE,3507,1,AE,1.48,FALSE,Absecon,1985,1985,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.488964,39.427997],[-74.488917,39.428007],[-74.488942,39.428080],[-74.489022,39.428063],[-74.489006,39.428018],[-74.489109,39.427996],[-74.489088,39.427936],[-74.488952,39.427965],[-74.488964,39.427997]]]},""properties"":{}}"
36,39.42875084,-74.48992171,Wood,Single Family Housing,2,35.17707933,1933.521469,Gable,,Truss,,1,8s,Strap,,,Superior,1,,,,,Suburban,RES1,NE,3507,1,X,1.07,FALSE,Absecon,2002,2002,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.489890,39.428683],[-74.489885,39.428830],[-74.489953,39.428831],[-74.489954,39.428814],[-74.490009,39.428815],[-74.490013,39.428685],[-74.489890,39.428683]]]},""properties"":{}}"
37,39.42784222,-74.49048132,Wood,Single Family Housing,2,41.38026008,2017.696541,Gable,,Truss,,0,8s,Strap,,,No,1,,,,,Open,RES1,NE,3507,1,AE,0.61,FALSE,Absecon,2001,2001,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.490415,39.427864],[-74.490413,39.427932],[-74.490514,39.427935],[-74.490516,39.427898],[-74.490586,39.427899],[-74.490590,39.427787],[-74.490443,39.427784],[-74.490439,39.427865],[-74.490415,39.427864]]]},""properties"":{}}"
