,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberOfStories,NoUnits,PlanArea0,PlanArea,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,Footprint
5236,NJBF000068592,1 VICTORIA PL,Atlantic City,NJ,39.35719689,-74.44613337,RES3A,3001,,27,NE,1900,1900,3301,2,2,697.1021301,697.1021301,3505,YES,33.7,40.48,3,5.78,6106,114.301202,123.951726,133.723132,140.083816,I,Above,Gable,0,5701,Wood,37.09011964,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.446070,39.357094],[-74.446188,39.357054],[-74.446112,39.356920],[-74.446092,39.356927],[-74.446074,39.356896],[-74.445874,39.356964],[-74.445955,39.357106],[-74.446025,39.357082],[-74.446038,39.357106],[-74.446019,39.357112],[-74.446059,39.357183],[-74.446021,39.357196],[-74.446030,39.357211],[-74.446120,39.357181],[-74.446070,39.357094]]]},""properties"":{}}"
5237,NJBF000069439,23 S KENTUCKY AVE,Atlantic City,NJ,39.36042968,-74.42988839,COM1,3003,100,NaN,ME,1969,0,3401,3,1,2191.221956,2191.221956,3507,YES,38.92,50.62,1,1.94,6106,114.612456,124.212695,134.0117,140.290093,I,Above,Flat,0,NaN,Wood,44.76740172,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.429783,39.360419],[-74.429819,39.360493],[-74.430059,39.360423],[-74.430023,39.360349],[-74.429783,39.360419]]]},""properties"":{}}"
5238,NJBF000070708,337 N NORTH CAROLINA AVE,Atlantic City,NJ,39.368124,-74.42867667,RES1,3001,,27,NE,2006,2006,3103,2,2,2064.233926,2064.233926,3505,NO,27.5,40.84,3,-0.71,6106,114.546336,124.153865,133.954082,140.200423,I,Above,Gable,0,5701,Wood,34.16889796,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.428812,39.368159],[-74.428764,39.368068],[-74.428603,39.368119],[-74.428651,39.368210],[-74.428812,39.368159]]]},""properties"":{}}"
5239,NJBF000068267,455 N HARRISBURG AVE,Atlantic City,NJ,39.35618896,-74.46094488,RES1,3001,,45,NE,1900,1900,3102,2,2,692.2289292,692.2289292,3505,NO,45.79,53.14,3,8.87,6106,113.990509,123.694659,133.443357,139.862019,I,Above,Flat,0,5701,Wood,49.46854664,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.461028,39.356191],[-74.460979,39.356112],[-74.460844,39.356163],[-74.460894,39.356242],[-74.461028,39.356191]]]},""properties"":{}}"
5240,NJBF000068443,3025 FAIRMOUNT AVE,Atlantic City,NJ,39.35678235,-74.45069113,RES3A,3001,,45,NE,1900,1900,3301,2,2,840.3588073,840.3588073,3507,YES,40.85,55.47,1,2.8,6106,114.207193,123.873602,133.637764,140.017983,I,Above,Flat,0,5701,Wood,48.15691881,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.450601,39.356760],[-74.450671,39.356828],[-74.450714,39.356801],[-74.450644,39.356734],[-74.450601,39.356760]]]},""properties"":{}}"
5241,NJBF000066301,31 N LACLEDE PL,Atlantic City,NJ,39.34943785,-74.46089221,RES3A,3001,100,NaN,NE,1969,0,3301,3,1,2251.603653,2251.603653,3505,YES,51.25,64.98,3,-2.99,6106,114.076472,123.768533,133.517919,139.966739,I,Above,Hip,0,5701,Wood,58.11278215,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.461004,39.349422],[-74.460937,39.349339],[-74.460742,39.349433],[-74.460809,39.349516],[-74.461004,39.349422]]]},""properties"":{}}"
5242,NJBF000069309,114 S NEW YORK AVE,Atlantic City,NJ,39.35961609,-74.42831133,COM1,3003,100,NaN,ME,1969,0,3401,2,1,11990.74454,11990.74454,3507,YES,28.51,34.78,1,0.48,6106,114.656219,124.250024,134.051921,140.325717,I,Above,Flat,0,NaN,Wood,31.64813415,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.428348,39.359674],[-74.428637,39.359570],[-74.428573,39.359464],[-74.428558,39.359470],[-74.428518,39.359405],[-74.428092,39.359560],[-74.428275,39.359862],[-74.428428,39.359807],[-74.428348,39.359674]]]},""properties"":{}}"
5243,NJBF000070056,36 N MARYLAND AVE,Atlantic City,NJ,39.36563919,-74.42269024,COM1,3003,,17,ME,1910,1910,3401,2,1,2478.181191,2478.181191,3507,YES,21.26,31.97,1,-0.89,6106,114.703816,124.289426,134.101268,140.328595,I,Above,Hip,0,NaN,Wood,26.61689311,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.422842,39.365657],[-74.422815,39.365584],[-74.422731,39.365603],[-74.422741,39.365631],[-74.422647,39.365652],[-74.422663,39.365696],[-74.422842,39.365657]]]},""properties"":{}}"
5244,NJBF000070904,1401 CASPIAN AVE,Atlantic City,NJ,39.36880993,-74.43347664,RES3C,3001,29,NaN,ME,1969,0,3301,2,1,4144.182833,4144.182833,3505,NO,25.35,39.06,3,2.89,6106,114.43527,124.058936,133.850198,140.114854,I,Above,Gable,0,NaN,Wood,32.20264682,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.433349,39.368715],[-74.433382,39.368777],[-74.433405,39.368770],[-74.433522,39.368987],[-74.433657,39.368944],[-74.433506,39.368665],[-74.433349,39.368715]]]},""properties"":{}}"
5245,NJBF000070921,1401 CASPIAN AVE,Atlantic City,NJ,39.36885454,-74.43310252,RES3C,3001,29,NaN,ME,1969,0,3301,2,1,1792.352914,1792.352914,3505,NO,31.13,45.72,3,7.08,6106,114.44278,124.065294,133.857224,140.120139,I,Above,Gable,0,NaN,Wood,38.42689158,0,0,,,,1,1,,0.03,nav,1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-74.433032,39.368848],[-74.433059,39.368884],[-74.433037,39.368893],[-74.433083,39.368953],[-74.433241,39.368882],[-74.433168,39.368786],[-74.433032,39.368848]]]},""properties"":{}}"
