GP_file,Longitude,Latitude
10234.csv,-74.5093,39.373
10235.csv,-74.5093,39.3741
10236.csv,-74.5093,39.3752
10237.csv,-74.5093,39.3764
10238.csv,-74.5093,39.3775
10239.csv,-74.5093,39.3786
10240.csv,-74.5093,39.3798
10241.csv,-74.5093,39.3809
10242.csv,-74.5093,39.382
10243.csv,-74.5093,39.3832
10244.csv,-74.5093,39.3843
10245.csv,-74.5093,39.3854
10246.csv,-74.5093,39.3866
10247.csv,-74.5093,39.3877
10248.csv,-74.5093,39.3888
10249.csv,-74.5093,39.39
10250.csv,-74.5093,39.3911
10251.csv,-74.5064,39.3356
10252.csv,-74.5064,39.3367
10253.csv,-74.5064,39.3379
10254.csv,-74.5064,39.339
10255.csv,-74.5064,39.3401
10256.csv,-74.5064,39.3413
10257.csv,-74.5064,39.3424
10258.csv,-74.5064,39.3435
10259.csv,-74.5064,39.3447
10260.csv,-74.5064,39.3458
10261.csv,-74.5064,39.3469
10262.csv,-74.5064,39.3481
10263.csv,-74.5064,39.3492
10264.csv,-74.5064,39.3503
10265.csv,-74.5064,39.3515
10266.csv,-74.5064,39.3526
10267.csv,-74.5064,39.3537
10268.csv,-74.5064,39.3549
10269.csv,-74.5064,39.356
10270.csv,-74.5064,39.3571
10271.csv,-74.5064,39.3583
10272.csv,-74.5064,39.3594
10273.csv,-74.5064,39.3605
10274.csv,-74.5064,39.3617
10275.csv,-74.5064,39.3628
10276.csv,-74.5064,39.3639
10277.csv,-74.5064,39.365
10278.csv,-74.5064,39.3662
10279.csv,-74.5064,39.3673
10280.csv,-74.5064,39.3684
10281.csv,-74.5064,39.3696
10282.csv,-74.5064,39.3707
10283.csv,-74.5064,39.3718
10284.csv,-74.5064,39.373
10285.csv,-74.5064,39.3741
10286.csv,-74.5064,39.3752
10287.csv,-74.5064,39.3764
10288.csv,-74.5064,39.3775
10289.csv,-74.5064,39.3786
10290.csv,-74.5064,39.3798
10291.csv,-74.5064,39.3809
10292.csv,-74.5064,39.382
10293.csv,-74.5064,39.3832
10294.csv,-74.5064,39.3843
10295.csv,-74.5064,39.3854
10296.csv,-74.5064,39.3866
10297.csv,-74.5064,39.3877
10298.csv,-74.5064,39.3888
10299.csv,-74.5064,39.39
10300.csv,-74.5064,39.3911
10301.csv,-74.5035,39.3356
10302.csv,-74.5035,39.3367
10303.csv,-74.5035,39.3379
10304.csv,-74.5035,39.339
10305.csv,-74.5035,39.3401
10306.csv,-74.5035,39.3413
10307.csv,-74.5035,39.3424
10308.csv,-74.5035,39.3435
10309.csv,-74.5035,39.3447
10310.csv,-74.5035,39.3458
10311.csv,-74.5035,39.3469
10312.csv,-74.5035,39.3481
10313.csv,-74.5035,39.3492
10314.csv,-74.5035,39.3503
10315.csv,-74.5035,39.3515
10316.csv,-74.5035,39.3526
10317.csv,-74.5035,39.3537
10318.csv,-74.5035,39.3549
10319.csv,-74.5035,39.356
10320.csv,-74.5035,39.3571
10321.csv,-74.5035,39.3583
10322.csv,-74.5035,39.3594
10323.csv,-74.5035,39.3605
10324.csv,-74.5035,39.3617
10325.csv,-74.5035,39.3628
10326.csv,-74.5035,39.3639
10327.csv,-74.5035,39.365
10328.csv,-74.5035,39.3662
10329.csv,-74.5035,39.3673
10330.csv,-74.5035,39.3684
10331.csv,-74.5035,39.3696
10332.csv,-74.5035,39.3707
10333.csv,-74.5035,39.3718
10334.csv,-74.5035,39.373
10335.csv,-74.5035,39.3741
10336.csv,-74.5035,39.3752
10337.csv,-74.5035,39.3764
10338.csv,-74.5035,39.3775
10339.csv,-74.5035,39.3786
10340.csv,-74.5035,39.3798
10341.csv,-74.5035,39.3809
10342.csv,-74.5035,39.382
10343.csv,-74.5035,39.3832
10344.csv,-74.5035,39.3843
10345.csv,-74.5035,39.3854
10346.csv,-74.5035,39.3866
10347.csv,-74.5035,39.3877
10348.csv,-74.5035,39.3888
10349.csv,-74.5035,39.39
10350.csv,-74.5035,39.3911
10351.csv,-74.5007,39.3356
10352.csv,-74.5007,39.3367
10353.csv,-74.5007,39.3379
10354.csv,-74.5007,39.339
10355.csv,-74.5007,39.3401
10356.csv,-74.5007,39.3413
10357.csv,-74.5007,39.3424
10358.csv,-74.5007,39.3435
10359.csv,-74.5007,39.3447
10360.csv,-74.5007,39.3458
10361.csv,-74.5007,39.3469
10362.csv,-74.5007,39.3481
10363.csv,-74.5007,39.3492
10364.csv,-74.5007,39.3503
10365.csv,-74.5007,39.3515
10366.csv,-74.5007,39.3526
10367.csv,-74.5007,39.3537
10368.csv,-74.5007,39.3549
10369.csv,-74.5007,39.356
10370.csv,-74.5007,39.3571
10371.csv,-74.5007,39.3583
